site,lat_original,lat,,long,sp,#
GoA,28.4,28.5,,34.733333,Pm,2
GoA,,28.4,,34.733333,Da,7
Eilat,,29.516667,,34.95,Dt,6
Burcan,27.9,28,35.07,34.95,Dt,3
Burcan,,27.9,,35.05,Da,8
Burcan,27.9,27.8,,35.15,Pm,1
Fahal,,22.216667,,38.95,Pm,9
Shosha,22.3,22.6,,39.033333,Pm,3
RS,,21.5,,39.1,Cm,14
Lamu,,-2.27,,40.9,Pm,9
Mad,,-23.366667,,43.633333,Da,15
Sey,,-5.4,,53.3,Cm,14
Peros,,-5.349388,,71.850597,Dt,1
Chagos,,-6.211734,,72.114579,Dt,9
Salomon,,-5.323567,,72.244025,Dt,4
Diego,,-7.322186,,72.423652,Dt,1
WA,,-22.9,,113.8,Cm,13
NT,,-12.7,,130.3,Cm,6
QLD,,-12.6,,141.8,Cm,5
GBR,,-16.3,,146.5,Cm,7
Chesterf,,-19.3,,158.7,Cm,10
Noumea,,-22.3,,166.5,Cm,8
Kiribati,,1.88,,202.7,Cm,9
Moorea,,-17.6,,210.1,Cm,8
Tet,,-17,,210.4,Cm,8
Fak,,-16,,220,Cm,14
Vahaga,,-21.3,,223.4,Cm,14
